time, height, speed, acceleration, user_data
0, 0, 0, 0, 0
0.010000, 0, 0, 13, 0
0.020000, 0.000159, 0.031900, 13, 0
0.030000, 0.000638, 0.063800, 13, 0
0.040000, 0.001435, 0.095700, 13, 0
0.050000, 0.002552, 0.127600, 13, 0
0.060000, 0.003987, 0.159500, 13, 0
0.070000, 0.005742, 0.191400, 13, 0
0.080000, 0.007815, 0.223300, 13, 0
0.090000, 0.010208, 0.255200, 13, 0
0.100000, 0.012919, 0.287100, 13, 0
0.110000, 0.015950, 0.319000, 13, 0
0.120000, 0.019299, 0.350900, 13, 0
0.130000, 0.022968, 0.382800, 13, 0
0.140000, 0.026955, 0.414700, 13, 0
0.150000, 0.031262, 0.446600, 13, 0
0.160000, 0.035887, 0.478500, 13, 0
0.170000, 0.040832, 0.510400, 13, 0
0.180000, 0.046095, 0.542300, 13, 0
0.190000, 0.051678, 0.574200, 13, 0
0.200000, 0.057579, 0.606100, 13, 0
0.210000, 0.063800, 0.638000, 13, 0
0.220000, 0.070339, 0.669900, 13, 0
0.230000, 0.077198, 0.701800, 13, 0
0.240000, 0.084375, 0.733700, 13, 0
0.250000, 0.091872, 0.765600, 13, 0
0.260000, 0.099687, 0.797500, 13, 0
0.270000, 0.107822, 0.829400, 13, 0
0.280000, 0.116275, 0.861300, 13, 0
0.290000, 0.125048, 0.893200, 13, 0
0.300000, 0.134139, 0.925100, 13, 0
0.310000, 0.143550, 0.957000, 13, 0
0.320000, 0.153279, 0.988900, 13, 0
0.330000, 0.163328, 1.020800, 13, 0
0.340000, 0.173695, 1.052700, 13, 0
0.350000, 0.184382, 1.084600, 13, 0
0.360000, 0.195387, 1.116500, 13, 0
0.370000, 0.206712, 1.148400, 13, 0
0.380000, 0.218355, 1.180300, 13, 0
0.390000, 0.230318, 1.212200, 13, 0
0.400000, 0.242599, 1.244100, 13, 0
0.410000, 0.255200, 1.276000, 13, 0
0.420000, 0.268119, 1.307900, 13, 0
0.430000, 0.281358, 1.339800, 13, 0
0.440000, 0.294915, 1.371700, 13, 0
0.450000, 0.308792, 1.403600, 13, 0
0.460000, 0.322987, 1.435500, 13, 0
0.470000, 0.337502, 1.467400, 13, 0
0.480000, 0.352335, 1.499300, 13, 0
0.490000, 0.367488, 1.531201, 13, 0
0.500000, 0.382960, 1.563101, 13, 0
0.510000, 0.398750, 1.595001, 13, 0
0.520000, 0.414860, 1.626901, 13, 0
0.530000, 0.431288, 1.658801, 13, 0
0.540000, 0.448036, 1.690701, 13, 0
0.550000, 0.465102, 1.722601, 12.835128, 0
0.560000, 0.482479, 1.752852, 11.558568, 0
0.570000, 0.500095, 1.770338, 10.369102, 0
0.580000, 0.517827, 1.775929, 9.343349, 0
0.590000, 0.535563, 1.771262, 8.469293, 0
0.600000, 0.553208, 1.757855, 7.730153, 0
0.610000, 0.570683, 1.737057, 7.109992, 0
0.620000, 0.587918, 1.710057, 6.594787, 0
0.630000, 0.604858, 1.677904, 6.172024, 0
0.640000, 0.621455, 1.641525, 5.830407, 0
0.650000, 0.637671, 1.601729, 5.559868, 0
0.660000, 0.653476, 1.559227, 5.351512, 0
0.670000, 0.668846, 1.514642, 5.197265, 0
0.680000, 0.683761, 1.468515, 5.090076, 0
0.690000, 0.698211, 1.421316, 5.023714, 0
0.700000, 0.712184, 1.373453, 4.992550, 0
0.710000, 0.725678, 1.325279, 4.991505, 0
0.720000, 0.738690, 1.277094, 5.016236, 0
0.730000, 0.751221, 1.229156, 5.062843, 0
0.740000, 0.763275, 1.181684, 5.127962, 0
0.750000, 0.774858, 1.134864, 5.208453, 0
0.760000, 0.785977, 1.088848, 5.301589, 0
0.770000, 0.796640, 1.043764, 5.405228, 0
0.780000, 0.806857, 0.999717, 5.517003, 0
0.790000, 0.816640, 0.956787, 5.635325, 0
0.800000, 0.825999, 0.915040, 5.758655, 0
0.810000, 0.834947, 0.874526, 5.885499, 0
0.820000, 0.843496, 0.835281, 6.014586, 0
0.830000, 0.851659, 0.797327, 6.145049, 0
0.839999, 0.859449, 0.760678, 6.275924, 0
0.849999, 0.866879, 0.725337, 6.406490, 0
0.859999, 0.873962, 0.691302, 6.536110, 0
0.869999, 0.880711, 0.658563, 6.664144, 0
0.879999, 0.887140, 0.627104, 6.790208, 0
0.889999, 0.893260, 0.596906, 6.913926, 0
0.899999, 0.899084, 0.567946, 7.035017, 0
0.909999, 0.904625, 0.540196, 7.153210, 0
0.919999, 0.909894, 0.513628, 7.268161, 0
0.929999, 0.914903, 0.488210, 7.379874, 0
0.939999, 0.919664, 0.463908, 7.488205, 0
0.949999, 0.924187, 0.440690, 7.593022, 0
0.959999, 0.928483, 0.418521, 7.694296, 0
0.969999, 0.932562, 0.397364, 7.792097, 0
0.979999, 0.936435, 0.377185, 7.886263, 0
0.989999, 0.940110, 0.357947, 7.976981, 0
0.999999, 0.943598, 0.339617, 8.064124, 0
1.009999, 0.946907, 0.322158, 8.147915, 0
1.019999, 0.950046, 0.305537, 8.228176, 0
1.029999, 0.953022, 0.289719, 8.305162, 0
1.039999, 0.955844, 0.274671, 8.378899, 0
1.049999, 0.958519, 0.260360, 8.449509, 0
1.059999, 0.961055, 0.246755, 8.517048, 0
1.069999, 0.963457, 0.233825, 8.581588, 0
1.079999, 0.965734, 0.221541, 8.643213, 0
1.089999, 0.967891, 0.209873, 8.702108, 0
1.099999, 0.969935, 0.198794, 8.758138, 0
1.109999, 0.971870, 0.188276, 8.811679, 0
1.119999, 0.973703, 0.178293, 8.862707, 0
1.129999, 0.975438, 0.168820, 8.911296, 0
1.139999, 0.977082, 0.159833, 8.957610, 0
1.149999, 0.978637, 0.151309, 9.001662, 0
1.159999, 0.980110, 0.143225, 9.043558, 0
1.169999, 0.981504, 0.135561, 9.083416, 0
1.179999, 0.982823, 0.128295, 9.121365, 0
1.189999, 0.984072, 0.121409, 9.157373, 0
1.199999, 0.985253, 0.114882, 9.191505, 0
1.209999, 0.986371, 0.108697, 9.224086, 0
1.219999, 0.987429, 0.102838, 9.255033, 0
1.229999, 0.988429, 0.097289, 9.284352, 0
1.239999, 0.989376, 0.092032, 9.312140, 0
1.249999, 0.990271, 0.087054, 9.338589, 0
1.259999, 0.991118, 0.082339, 9.363559, 0
1.269999, 0.991919, 0.077875, 9.387423, 0
1.279999, 0.992677, 0.073649, 9.409891, 0
1.289999, 0.993393, 0.069648, 9.431348, 0
1.299999, 0.994071, 0.065862, 9.451600, 0
1.309999, 0.994712, 0.062278, 9.470790, 0
1.319999, 0.995317, 0.058885, 9.489071, 0
1.329999, 0.995890, 0.055676, 9.506264, 0
1.339999, 0.996432, 0.052639, 9.522613, 0
1.349999, 0.996944, 0.049765, 9.538117, 0
1.359999, 0.997428, 0.047046, 9.552780, 0
1.369999, 0.997885, 0.044474, 9.566692, 0
1.379999, 0.998318, 0.042041, 9.579865, 0
1.389999, 0.998727, 0.039739, 9.592315, 0
1.399999, 0.999113, 0.037563, 9.604142, 0
1.409999, 0.999479, 0.035504, 9.615287, 0
1.419999, 0.999824, 0.033557, 9.625772, 0
1.429999, 1.000150, 0.031715, 9.635878, 0
1.439999, 1.000459, 0.029973, 9.645389, 0
1.449999, 1.000750, 0.028327, 9.654337, 0
1.459999, 1.001026, 0.026771, 9.662758, 0
1.469999, 1.001286, 0.025298, 9.670774, 0
1.479999, 1.001532, 0.023906, 9.678345, 0
1.489999, 1.001764, 0.022589, 9.685598, 0
1.499999, 1.001984, 0.021345, 9.692330, 0
1.509999, 1.002192, 0.020169, 9.698669, 0
1.519999, 1.002388, 0.019055, 9.704920, 0
1.529999, 1.002573, 0.018005, 9.710720, 0
1.539999, 1.002748, 0.017012, 9.716203, 0
1.549999, 1.002914, 0.016074, 9.721170, 0
1.559999, 1.003070, 0.015185, 9.726096, 0
1.569999, 1.003218, 0.014346, 9.730623, 0
1.579999, 1.003357, 0.013553, 9.735063, 0
1.589999, 1.003489, 0.012803, 9.739057, 0
1.599999, 1.003613, 0.012094, 9.743085, 0
1.609999, 1.003731, 0.011425, 9.746628, 0
1.619999, 1.003842, 0.010791, 9.750334, 0
1.629999, 1.003947, 0.010194, 9.753518, 0
1.639999, 1.004046, 0.009629, 9.756662, 0
1.649999, 1.004140, 0.009096, 9.759414, 0
1.659999, 1.004228, 0.008590, 9.762258, 0
1.669999, 1.004312, 0.008113, 9.764851, 0
1.679999, 1.004391, 0.007661, 9.767343, 0
1.689999, 1.004465, 0.007235, 9.769724, 0
